PATCH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
28,0,0,0,0,0,0,0.0001237819,0.0010306165,0.0033254756,0,0,0,0,0,0,0,0.0335751018,0.1488752654,0.0068376178,7.99873827917462E-05,0,0,0,0,0,0,0.0864462411,1,0.038670697,0.0005605484,0,0,0,0,0,9.06853080860394E-05,0.0264840553,0.1231645382,0.031106071,3.89184862521552E-09,0,0,0,0,0,0,1.03826220921042E-05,0.0022361764,3.22194240978127E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,4.49003723990075E-05,0.0004909372,0,0,0,0,0,0,0,0,0.0599536177,0.1296862154,0.0282012011,0,0,0,0,0,0,0.0011012757,0.038670697,1,0.1089999581,0,0,0,0,0,0,4.35568256494565E-06,0.0476664728,0.0379519188,0.0222950117,0,0,0,0,0,0,0,0,0.0055541464,3.48882436741326E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,9.01740976363024E-06,0.0035895504,0,0,0,0,0,0,0,0.0003804796,0.028802849,0.0392298123,0,0,0,0,0,0,0,0.0005605484,0.1089999581,1,0,0,0,0,0,0,0,0,0.0291899963,0.0738917119,0,0,0,0,0,0,0,0,0.0001160129,0.0004215953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0.0001685144,2.43123024221491E-07,0,0,0,0,0,0,0,0,0.0707677237,0.0032960601,5.54144635048308E-06,0,0,0,0,0,0,0,1,0.0908835622,4.89725350333764E-05,0,0,0,0,0,0,0,0.0723870534,0.0108611956,0,0,0,0,0,0,0,0,0.0006557903,0.0001692902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,3.96031282726336E-05,0.0012127639,0,0,0,0,0,0,0,0,0.0060345858,0.1242355571,0.0176693042,0,0,0,0,0,0,0,0.0908835622,1,0.081419566,0.0009223551,0,0,0,0,0,0,0.0391945587,0.0575501965,0.0333642276,0.0001880369,0,0,0,0,0,0,7.57736159315638E-05,0.0001936461,0.0021197085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,2.22288950004682E-05,0.0024587685,0.0004418475,0,0,0,0,0,0,2.38524097801392E-06,0.0117972732,0.0364446232,0.0171485222,1.83991231924027E-05,0,0,0,0,0,4.89725350333764E-05,0.081419566,1,0.128093119,8.40132603703073E-05,0,0,0,0,0,0,0.0193157303,0.081894526,0.0204492224,1.87304526551687E-05,0,0,0,0,0,0,0,2.24734331587307E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,2.9346736758221E-06,0.001868526,0.0027572972,0,0,0,0,0,0,0.0007536324,0.0146948679,0.0659553634,0.0024383719,0,0,0,0,0,0,0.0009223551,0.128093119,1,0.0176386163,0.0024834758,0,0,0,0,0,0.0003645534,0.0217158076,0.0868495625,0.0701099596,1.05335222831342E-05,0,0,0,0,0,0,0,0.0028828726,0.0009910847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009124019,0.0003023205,0,0,0,0,0,0,5.8403774541202E-05,0.0141883837,0.0442086796,0.0288941335,0.001396583,0,0,0,0,0,8.40132603703073E-05,0.0176386163,1,0.0375389414,0.0021420353,0,0,0,0,0,0.0001124993,0.0128355875,0.1016887298,0.013708346,8.70632244818186E-06,0,0,0,0,0,0,0,0.0003953981,1.12463756621574E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004540768,0.0002849127,0,0,0,0,0,0,3.77780746437155E-06,0.030670796,0.0543234055,0.0435044651,9.06853080860394E-05,0,0,0,0,0,0.0024834758,0.0375389414,1,0.083916481,0.0018185432,0,0,0,0,0,0.0004243504,0.0044521336,0.0789555448,0.0265393479,6.51107081502706E-06,0,0,0,0,0,0,4.33394854483045E-05,0.0001054996,0.0007489586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003632627,0.0005634995,0,0,0,0,0,0,0,0.0038353309,0.1305411602,0.0264840553,4.35568256494565E-06,0,0,0,0,0,0.0021420353,0.083916481,1,0.114526627,0.0004388238,0,0,0,0,0,0.0003206276,0.0080200857,0.1233367213,0.0043587787,0.000360486,0,0,0,0,0,0,0,0.0042705022,7.31666169954463E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001958704,0.0003349548,0,0,0,0,0,0,0,7.7025678019464E-06,0.0130448195,0.1231645382,0.0476664728,0,0,0,0,0,0,0.0018185432,0.114526627,1,0.1157550546,0.0108997253,0,0,0,0,0,0.0004669208,0.0343763801,0.3231510272,0.0045169788,0,0,0,0,0,0,0,3.51555862285735E-05,0.001036299,0.0001572879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001781077,0.0005347031,0.000243122,0,0,0,0,0,0,7.63247273845789E-05,0.031106071,0.0379519188,0.0291899963,0,0,0,0,0,0,0.0004388238,0.1157550546,1,0.079324553,0,0,0,0,0,0,0.0002535443,0.01907568,0.0707077809,0.0141297055,0,0,0,0,0,0,0,0.000373072,0.0032900503,4.15842310642821E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56024677872261E-05,0.0008349555,0,0,0,0,0,0,0,3.89184862521552E-09,0.0222950117,0.0738917119,0,0,0,0,0,0,0,0.0108997253,0.079324553,1,0,0,0,0,0,0,0,9.99841743356472E-05,0.018338091,0.1095447213,0,0,0,0,0,0,0,0,0.0001277787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004272613,4.8273608710564E-06,0,0,0,0,0,0,0,0,0.0723870534,0.0391945587,0,0,0,0,0,0,0,0,1,0.0488970734,0.000863426,0,0,0,0,0,0,0,0.0988197403,0.0205674787,0.0005503204,0,0,0,0,0,0,0,0.001893476,0.0014170015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002397723,0.0006945297,0.0002030404,0,0,0,0,0,0,0,0.0108611956,0.0575501965,0.0193157303,0.0003645534,0,0,0,0,0,0,0.0488970734,1,0.0523635199,0.0109802667,0,0,0,0,0,0,0.0146898524,0.0610431367,0.0305251444,0,0,0,0,0,0,0,0.0014256328,0.0017183243,0.0014492431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019910386,0,0,0,0,0,0,0,0,0.0333642276,0.081894526,0.0217158076,0.0001124993,0,0,0,0,0,0.000863426,0.0523635199,1,0.0940142904,9.73001301014827E-05,0,0,0,0,0,0,0.0272271641,0.0436885118,0.0125701387,3.22028143551467E-06,0,0,0,0,0,0,0.0001344339,0.0011989506,0.0011233334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
