SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,5,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15,1.2058527738,1.9704633836,2.9541101612,3.9379862412,5.8126065072,6.992801366,8.9770417684,9.243208971,8.649482879,8.0718007178,7.6313783338,7.8581498652,8.1353742444,7.1709032428,5.930949347,4.7109062422,3.460385988,1.7039551132,1.341621323,1.1107537346,1.0021010292
16,2.1840108854,2.1827881818,3.2483365744,4.4105660712,6.3949143526,7.8270293296,10.4000752538,13.2597488222,16.18804557,19.9660442276,22.9769845242,24.521567638,26.7210873494,24.4525142282,16.8758404854,11.073369062,10.864743897,7.6003404478,5.8810799384,6.7584286042,5.3327145664
17,1.2246876696,1.2273726746,1.7544507552,2.8242867304,4.2975532448,6.0732619402,8.5130122672,11.2268232484,13.579561723,18.411875203,20.6483589786,21.5573289216,21.6348588154,20.1994595258,16.6622527704,7.7469238958,3.197553058,2.2821451318,1.7300076802,1.6322604738,1.5333208108
18,2.416314417,3.0028847534,3.9675683912,5.5050916092,8.5769074472,12.846268899,16.3123650318,19.9668502546,23.992551095,28.602479536,30.5692136038,32.2734016008,27.6294825556,20.5307427908,15.1902444778,9.357736283,5.5670395366,4.2829987686,5.8267144666,6.000622928,5.0536627892
25,0.9144587898,1.63697261,2.4417745302,3.6400736616,3.7954100734,4.9865086338,6.2598601762,7.559615393,8.1158704438,7.6940495802,6.6800814066,7.4042553972,7.288090769,5.043476056,2.7364878022,1.9001495452,1.8943851518,1.5440206176,1.124703461,1.1952492418,1.1759246364
26,1.0787909696,1.0216418002,1.053050238,1.1928208228,1.3954276694,2.0908296342,2.554920075,2.8481251662,4.2789640734,4.9034593282,5.6085428338,6.3538500826,6.455231849,7.1299979106,6.153561017,3.5486276148,2.2665547366,1.9693842716,1.6332994402,1.3248141232,1.2544561916
27,0.9363924488,0.9140494488,1.001039933,1.2490826384,2.1199858044,2.9744804724,4.0115166734,4.4814174552,6.0582403864,5.9727018286,6.5761495062,8.1388540712,6.9464406564,7.864503389,7.6520179136,6.0650900672,3.9177182006,4.1374489102,2.9991895006,2.2625490722,1.6716348266
28,1.1198631286,1.3019803756,1.5827699914,1.822331037,2.2714456322,2.3490158922,2.391752764,3.0736828598,3.5869651082,4.1454297866,3.9705176284,3.6219641848,3.3735866666,2.7700530488,2.9252105798,4.881763225,6.7140105586,6.5780376488,5.1401553438,3.8477297596,3.5943145362
29,11.2844796204,16.6493020514,20.3880367846,5.551001138,4.0336767168,3.8127789128,4.0676616318,5.24375737,5.7755777616,6.3995539762,7.5531772058,8.0597964086,8.245175956,7.9476659686,7.669936196,4.8947749366,4.7117448538,5.6236914882,9.207048448,12.524031597,13.423398305
30,0.764379191,0.853165875,1.6896285476,3.082924657,4.310563812,4.998654171,5.809350127,5.7907320112,7.1030815456,6.4753891774,7.259193325,9.6917858814,9.4515496332,8.0871688284,4.2447745568,1.6963497056,1.2716162262,1.127766029,1.0462367168,1.0122136314,0.9881998214
37,3.707105403,6.7479928588,9.706860294,13.8891505298,19.2978052646,26.8194355904,31.8788982624,38.1206582528,43.880059844,47.983661934,45.3682780616,33.8718717398,35.531669361,28.242377985,19.6020710388,16.8226122336,15.7598246746,11.8624161418,9.2587455564,6.1873607392,3.4489495422
38,2.8750382522,1.8992821126,2.1658350236,2.9005952638,4.0482552236,6.6073718936,10.3128014142,14.8738699572,18.8789204454,23.6770441928,28.2684397534,30.944212277,30.3718435218,30.528661977,27.791938018,17.793726997,14.775286874,11.4616419688,4.9547467032,4.647158916,5.9339853144
39,1.6875561266,1.5596967376,1.5057504374,2.4183401186,3.027543012,4.0730878748,5.5780619954,7.4790920686,10.7486633082,14.9555340726,17.7064929104,19.7995934254,22.441712748,23.7856249242,18.7139905786,11.8522936216,6.1929491028,4.7554979098,5.0527894216,4.620580985,3.0595579706
40,2.1044080834,3.047690497,4.4180957556,5.8995263516,8.9883271996,9.0873839868,11.6853514672,15.3650450474,21.559462034,29.1782145728,32.5779648208,30.4137065034,29.3339578194,22.9027402662,12.3447090548,6.409336894,5.2743841314,7.344101288,4.4114708406,4.3551004252,4.116566677
PATH_8_21/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,20.2732830219,20.2836547894,20.2994172149,20.3236905505,20.5756431678,21.2957150299,22.1261709575,22.9114251088,23.1392461435,22.5964955993,22.294196537,21.9684623194,22.0801763826,21.9608198751,21.3969798961,20.6265934771,20.4079799244,20.3321138954,20.3079470857,20.2876567613,20.2818621068
9,20.4939493647,20.490518508,20.5022022923,20.5744614604,20.9475815589,22.1132091839,23.2651566243,24.625098797,25.9528954548,26.4608942193,25.8890090001,25.5821149744,24.7773105048,23.9150485573,22.5199970534,21.4546971465,21.2216198601,21.0747281354,20.846194933,20.7005808316,20.6320507872
15,20.6029263869,20.9852316918,21.4770550806,21.9689931206,22.9063032536,23.496400683,24.4885208842,24.6216044855,24.3247414395,24.0359003589,23.8156891669,23.9290749326,24.0676871222,23.5854516214,22.9654746735,22.3554531211,21.730192994,20.8519775566,20.6708106615,20.5553768673,20.5010505146
16,21.0920054427,21.0913940909,21.6241682872,22.2052830356,23.1974571763,23.9135146648,25.2000376269,26.6298744111,28.094022785,29.9830221138,31.4884922621,32.260783819,33.3605436747,32.2262571141,28.4379202427,25.536684531,25.4323719485,23.8001702239,22.9405399692,23.3792143021,22.6663572832
17,20.6123438348,20.6136863373,20.8772253776,21.4121433652,22.1487766224,23.0366309701,24.2565061336,25.6134116242,26.7897808615,29.2059376015,30.3241794893,30.7786644608,30.8174294077,30.0997297629,28.3311263852,23.8734619479,21.598776529,21.1410725659,20.8650038401,20.8161302369,20.7666604054
18,21.2081572085,21.5014423767,21.9837841956,22.7525458046,24.2884537236,26.4231344495,28.1561825159,29.9834251273,31.9962755475,34.301239768,35.2846068019,36.1367008004,33.8147412778,30.2653713954,27.5951222389,24.6788681415,22.7835197683,22.1414993843,22.9133572333,23.000311464,22.5268313946
25,20.4572293949,20.818486305,21.2208872651,21.8200368308,21.8977050367,22.4932543169,23.1299300881,23.7798076965,24.0579352219,23.8470247901,23.3400407033,23.7021276986,23.6440453845,22.521738028,21.3682439011,20.9500747726,20.9471925759,20.7720103088,20.5623517305,20.5976246209,20.5879623182
26,20.5393954848,20.5108209001,20.526525119,20.5964104114,20.6977138347,21.0454148171,21.2774600375,21.4240625831,22.1394820367,22.4517296641,22.8042714169,23.1769250413,23.2276159245,23.5649989553,23.0767805085,21.7743138074,21.1332773683,20.9846921358,20.8166497201,20.6624070616,20.6272280958
27,20.4681962244,20.4570247244,20.5005199665,20.6245413192,21.0599929022,21.4872402362,22.0057583367,22.2407087276,23.0291201932,22.9863509143,23.2880747531,24.0694270356,23.4732203282,23.9322516945,23.8260089568,23.0325450336,21.9588591003,22.0687244551,21.4995947503,21.1312745361,20.8358174133
28,20.5599315643,20.6509901878,20.7913849957,20.9111655185,21.1357228161,21.1745079461,21.195876382,21.5368414299,21.7934825541,22.0727148933,21.9852588142,21.8109820924,21.6867933333,21.3850265244,21.4626052899,22.4408816125,23.3570052793,23.2890188244,22.5700776719,21.9238648798,21.7971572681
29,25.6422398102,28.3246510257,30.1940183923,22.775500569,22.0168383584,21.9063894564,22.0338308159,22.621878685,22.8877888808,23.1997769881,23.7765886029,24.0298982043,24.122587978,23.9738329843,23.834968098,22.4473874683,22.3558724269,22.8118457441,24.603524224,26.2620157985,26.7116991525
30,20.3821895955,20.4265829375,20.8448142738,21.5414623285,22.155281906,22.4993270855,22.9046750635,22.8953660056,23.5515407728,23.2376945887,23.6295966625,24.8458929407,24.7257748166,24.0435844142,22.1223872784,20.8481748528,20.6358081131,20.5638830145,20.5231183584,20.5061068157,20.4940999107
37,21.8535527015,23.3739964294,24.853430147,26.9445752649,29.6489026323,33.4097177952,35.9394491312,39.0603291264,41.940029922,43.991830967,42.6841390308,36.9359358699,37.7658346805,34.1211889925,29.8010355194,28.4113061168,27.8799123373,25.9312080709,24.6293727782,23.0936803696,21.7244747711
38,21.4375191261,20.9496410563,21.0829175118,21.4502976319,22.0241276118,23.3036859468,25.1564007071,27.4369349786,29.4394602227,31.8385220964,34.1342198767,35.4721061385,35.1859217609,35.2643309885,33.895969009,28.8968634985,27.387643437,25.7308209844,22.4773733516,22.323579458,22.9669926572
39,20.8437780633,20.7798483688,20.7528752187,21.2091700593,21.513771506,22.0365439374,22.7890309977,23.7395460343,25.3743316541,27.4777670363,28.8532464552,29.8997967127,31.220856374,31.8928124621,29.3569952893,25.9261468108,23.0964745514,22.3777489549,22.5263947108,22.3102904925,21.5297789853
40,21.0522040417,21.5238452485,22.2090478778,22.9497631758,24.4941635998,24.5436919934,25.8426757336,27.6825225237,30.779731017,34.5891072864,36.2889824104,35.2068532517,34.6669789097,31.4513701331,26.1723545274,23.204668447,22.6371920657,23.672050644,22.2057354203,22.1775502126,22.0582833385
PATH_9_23/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,1.0546566044,1.0567309579,1.059883443,1.0647381101,1.1151286336,1.259143006,1.4252341915,1.5822850218,1.6278492287,1.5192991199,1.4588393074,1.3936924639,1.4160352765,1.392163975,1.2793959792,1.1253186954,1.0815959849,1.0664227791,1.0615894171,1.0575313523,1.0563724214
9,1.0987898729,1.0981037016,1.1004404585,1.1148922921,1.1895163118,1.4226418368,1.6530313249,1.9250197594,2.190579091,2.2921788439,2.1778018,2.1164229949,1.955462101,1.7830097115,1.5039994107,1.2909394293,1.244323972,1.2149456271,1.1692389866,1.1401161663,1.1264101574
15,1.1205852774,1.1970463384,1.2954110161,1.3937986241,1.5812606507,1.6992801366,1.8977041768,1.9243208971,1.8649482879,1.8071800718,1.7631378334,1.7858149865,1.8135374244,1.7170903243,1.5930949347,1.4710906242,1.3460385988,1.1703955113,1.1341621323,1.1110753735,1.1002101029
16,1.2184010885,1.2182788182,1.3248336574,1.4410566071,1.6394914353,1.782702933,2.0400075254,2.3259748822,2.618804557,2.9966044228,3.2976984524,3.4521567638,3.6721087349,3.4452514228,2.6875840485,2.1073369062,2.0864743897,1.7600340448,1.5881079938,1.6758428604,1.5332714566
17,1.122468767,1.1227372675,1.1754450755,1.282428673,1.4297553245,1.607326194,1.8513012267,2.1226823248,2.3579561723,2.8411875203,3.0648358979,3.1557328922,3.1634858815,3.0199459526,2.666225277,1.7746923896,1.3197553058,1.2282145132,1.173000768,1.1632260474,1.1533320811
18,1.2416314417,1.3002884753,1.3967568391,1.5505091609,1.8576907447,2.2846268899,2.6312365032,2.9966850255,3.3992551095,3.8602479536,4.0569213604,4.2273401601,3.7629482556,3.0530742791,2.5190244478,1.9357736283,1.5567039537,1.4282998769,1.5826714467,1.6000622928,1.5053662789
25,1.091445879,1.163697261,1.244177453,1.3640073662,1.3795410073,1.4986508634,1.6259860176,1.7559615393,1.8115870444,1.769404958,1.6680081407,1.7404255397,1.7288090769,1.5043476056,1.2736487802,1.1900149545,1.1894385152,1.1544020618,1.1124703461,1.1195249242,1.1175924636
26,1.107879097,1.10216418,1.1053050238,1.1192820823,1.1395427669,1.2090829634,1.2554920075,1.2848125166,1.4278964073,1.4903459328,1.5608542834,1.6353850083,1.6455231849,1.7129997911,1.6153561017,1.3548627615,1.2266554737,1.1969384272,1.163329944,1.1324814123,1.1254456192
27,1.0936392449,1.0914049449,1.1001039933,1.1249082638,1.2119985804,1.2974480472,1.4011516673,1.4481417455,1.6058240386,1.5972701829,1.6576149506,1.8138854071,1.6946440656,1.7864503389,1.7652017914,1.6065090067,1.3917718201,1.413744891,1.2999189501,1.2262549072,1.1671634827
28,1.1119863129,1.1301980376,1.1582769991,1.1822331037,1.2271445632,1.2349015892,1.2391752764,1.307368286,1.3586965108,1.4145429787,1.3970517628,1.3621964185,1.3373586667,1.2770053049,1.292521058,1.4881763225,1.6714010559,1.6578037649,1.5140155344,1.384772976,1.3594314536
29,2.128447962,2.6649302051,3.0388036785,1.5551001138,1.4033676717,1.3812778913,1.4067661632,1.524375737,1.5775577762,1.6399553976,1.7553177206,1.8059796409,1.8245175956,1.7947665969,1.7669936196,1.4894774937,1.4711744854,1.5623691488,1.9207048448,2.2524031597,2.3423398305
30,1.0764379191,1.0853165875,1.1689628548,1.3082924657,1.4310563812,1.4998654171,1.5809350127,1.5790732011,1.7103081546,1.6475389177,1.7259193325,1.9691785881,1.9451549633,1.8087168828,1.4244774557,1.1696349706,1.1271616226,1.1127766029,1.1046236717,1.1012213631,1.0988199821
37,1.3707105403,1.6747992859,1.9706860294,2.388915053,2.9297805265,3.681943559,4.1878898262,4.8120658253,5.3880059844,5.7983661934,5.5368278062,4.387187174,4.5531669361,3.8242377985,2.9602071039,2.6822612234,2.5759824675,2.1862416142,1.9258745556,1.6187360739,1.3448949542
