SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1_26/01/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
38,1.8524558578,1.3138769226,1.1540439467,1.3334669093,1.7705535706,2.9538584044,4.6438894073,7.2152890186,12.2515474252,21.5617788466,21.7299664309,23.9867657084,26.355375275,25.4644216735,20.609296274,12.2665034344,9.0262973938,5.5061863412,3.8855485306,2.5787999776,2.3365702891
39,0.9170202182,0.7884188785,0.6942759613,0.6302581644,0.7899814943,1.1368647352,1.4641197978,1.9055948962,2.6676934997,3.5710306131,4.8637718673,3.9200716395,2.9403704022,2.0608433436,1.3915049995,1.0536344659,0.8111544786,1.3635590727,2.6711842956,2.0084472889,1.6973732864
40,1.077233842,1.2968905602,1.8028771296,2.4854733344,3.4122127134,5.6055166418,7.323505255,10.0258602889,15.5182179562,22.3698606932,23.9092306761,25.79811318,23.7506424088,17.2658587123,4.9785897115,2.3689581745,1.9267830278,3.9563223734,2.7918565832,1.8529274921,1.6788798524
PATH_3_21/02/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.3812395693,0.3697651108,0.3889683463,0.4134257644,0.5930080467,1.1211923188,1.4986469826,1.8802837371,2.3637342774,2.4968319029,2.564959501,2.8697723022,2.3392320446,1.3896927637,0.8523847151,0.6739850761,0.5366885626,0.4742705637,0.4584118283,0.4266730241,0.4235908311
9,0.4849343597,0.486576211,0.4931993932,0.5153898172,0.8118158599,1.5941780305,2.4068726808,3.4406426197,4.5306628894,5.0117154516,4.911789138,3.9283844581,2.7804652283,2.118139824,1.3585911749,0.9926255874,0.7899925705,0.7079004957,0.6350679732,0.5829969983,0.5368678837
15,0.7317642991,0.813975922,1.3881471865,2.4921323376,3.0411727242,4.4276911592,5.8023950712,6.0213592066,5.7419307405,4.9114969152,4.0408010541,3.1038601051,3.042809156,2.156335911,1.8286570241,1.5714480898,1.3060191302,1.0678948924,0.9939640849,0.805103916,0.7907620298
16,0.9394138559,0.9394138559,0.9394138559,0.9394138559,1.3971030521,2.153599965,3.2593925519,4.3032942939,4.8650687361,5.9566059312,7.4740785759,8.0826585286,7.8659305453,6.2702789559,4.2286417586,2.9994257217,2.4063253774,1.9903506798,1.5052837193,1.3534561043,1.1807400445
17,0.8701467655,0.8250812723,0.9316543654,1.3448017634,2.4126521374,4.1798552401,6.3042033818,7.4030095567,9.1867902916,11.3362620006,12.4341486933,13.2729298887,13.098354536,11.3889844778,8.8518512185,6.6800576275,4.684815877,3.6137521684,2.471098306,1.8449694334,1.4619376453
