SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_6_17/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
40,1.32971721,1.6621270778,1.9259657476,2.2296367421,2.8518535995,3.7293981051,5.0360923728,6.1691059304,9.0820580608,9.5666553662,11.76265453,12.7267893763,13.1447380559,10.7382868452,7.3736077863,5.2986808488,5.1089006908,4.5292361398,4.2681407567,3.1508846575,2.2816340383
PATH_10_24/12/2017,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
8,0.2269382533,0.2528251058,0.3276768694,0.6218494169,1.0865664618,1.6126562907,2.2544424446,2.3716897824,2.3817670958,2.4683074909,2.1889296705,1.9177884811,1.6850120067,1.2931779156,0.9380919467,0.7451667124,0.5931622489,0.5176907045,0.4422378982,0.4316857826,0.3880902705
9,0.4792526864,0.5800115327,1.0110129089,1.7782908535,2.7071399494,4.0827578691,6.250195282,5.4762070019,4.9853953509,4.7824487608,4.5425235624,3.9866158311,3.3628630467,2.5868287597,1.9030021315,1.2188438048,0.8937338173,0.7594602529,0.6875340248,0.6183170297,0.5872562809
15,0.6069705228,1.0232924497,1.6352042312,2.413408692,3.2501652028,4.6520946139,5.0802904464,6.0745910184,4.8134900304,4.6237024893,4.5987874227,3.9239262894,3.3728420111,2.8574104849,1.9440705257,1.5536371494,1.3088213408,0.9722647319,0.840467627,0.7947523978,0.7593954022
16,1.2607891839,1.3693523096,1.7712541613,2.3998779007,3.2177998878,4.4740223624,5.9389233418,7.8145537566,8.7261813863,8.8058639838,7.5082908854,7.4186556488,6.8932168397,6.0911558677,4.1292172508,3.2382655467,2.3298359593,1.8572146426,1.5283398718,1.3515635334,1.2173691492
17,0.5685810927,0.5559531045,0.9031638127,1.5787425367,2.4269581118,3.104084011,4.5190358671,6.4377472135,9.4515492262,10.5861724887,10.7842708239,9.9818522305,9.1581909748,8.1022246113,5.8210966239,3.6498229784,2.7348283335,2.1649097341,1.6961121601,1.3587004173,1.1148932577
18,1.1592345621,1.4922722034,2.2190072853,3.3176275267,4.4628158668,5.8492878985,8.1403235475,10.766505012,13.4541811927,12.8675665835,11.7650106462,10.6884094682,9.3057261625,7.8890042835,5.7934034094,4.4022682836,3.4840308966,2.7804976628,2.2748237294,1.8552743224,1.6397807893
25,0.6103175971,0.7937933847,1.0773824943,1.3964101775,1.3976335275,1.430376087,1.4475426586,1.6786139131,1.7407836288,1.5575864089,1.2134715945,0.9505005475,1.1959848821,1.1445489087,0.9790781573,0.9746823258,0.8754384192,0.8465872801,0.764508524,0.7319751762,0.555691866
26,0.551141775,0.5742369299,0.5961975554,0.6443435722,0.9055405706,1.0684903902,1.0788512331,1.116095911,1.264689708,1.4408407567,1.4253063912,1.5182172763,1.3173034444,1.1209166656,1.0170403604,1.1719942699,1.0185466945,0.9736014987,0.8585017806,0.7655149575,0.7198254517
27,0.4868744696,0.5071345369,0.5652942134,0.670401192,0.7532041656,1.0736897149,1.3147822312,1.7624961094,1.8747607444,1.969463259,1.6566061942,1.6112834709,1.449590421,1.5091567457,1.3625951068,1.1998913947,1.0034670446,0.8862564248,0.8688994497,0.8513364514,0.7393544277
28,0.7886421892,0.7259366259,0.7974927302,0.8972214579,1.0851165927,1.316277188,1.4893316167,1.5758383871,1.6271946198,1.4809554294,1.4259060552,1.2741731264,1.1678768473,1.0656313494,1.1090873167,1.5087589718,1.9430082957,1.7566831197,1.7254378935,1.733531868,1.6386141754
29,6.537546356,6.9500713113,5.4933151193,2.3231683454,1.6311445073,1.6351784141,2.0101551741,2.5132378958,2.2544632548,2.2684843475,2.22043233,2.3167652412,2.907873099,3.262657085,3.4005661081,4.0000302362,3.451199736,4.2772997893,4.1777365024,4.6986704854,5.3576186426
30,0.3904129116,0.4305592421,0.5035157168,0.9502308231,1.6535585256,2.1104045264,2.4192066305,2.652783982,2.2259407779,2.5605693799,2.2444031936,2.1982677147,1.7345354889,1.5595848247,1.1980433062,0.9184476673,0.845700203,0.7558892924,0.703457502,0.6796360711,0.6664515643
37,2.1578410462,4.3782072572,5.8867005301,8.2979228152,10.6426407429,12.6103142305,14.6923822941,19.347655616,22.9582244085,26.1024188257,27.7154541042,20.4011716936,14.696548659,13.0656710626,7.2837009634,5.3230477809,4.1660643168,3.7114006657,3.4907397904,2.6389658694,1.9163144545
38,1.4118615454,1.1659883292,1.2841911676,1.4903471488,2.0363909086,2.8857045414,3.9660041584,4.7625778111,6.076987393,7.7360334232,9.4831740783,11.5643729966,14.1941382291,14.0628852988,12.614905344,9.0241027285,7.8925484377,6.7208126589,4.8620707634,4.1465822062,2.9258482252
39,0.989331109,0.889481819,0.9140534668,1.4385616904,1.6944255729,2.0162791106,2.75705695,3.5012981101,4.8843381412,6.7317409038,8.9706109878,11.1142024264,11.3818933301,12.024350335,11.5554107252,8.8701684607,5.2621189526,3.5335173396,3.5152990841,2.6883687837,1.696071356
40,1.2737722829,1.787718528,2.1907693893,2.7934541224,3.397124024,4.5631383396,5.6425507131,7.8738109643,10.1713062991,11.4682724394,13.7459090144,13.6499472238,15.1059350575,12.1972054597,7.9858833735,5.4704293298,4.2794810299,3.8299315664,2.7244799509,1.8258224799,1.4702616272
