SAMPLE_FFDI_PATHS,,,,,,,,,,,,,,,,,,,,,
PRESET_PATHS,10,,,,,,,,,,,,,,,,,,,,
PATH_1,HOUR,,,,,,,,,,,,,,,,,,,,
PATCH,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
23,3.4067154116,5.2980103645,6.7596346483,18.1015422635,41.2851028789,41.9538059946,45.3226972728,46.422038716,54.0397868256,80.2357918107,72.2595839308,68.9040469374,77.2902356743,110.224841463,47.087670541,50.9848928117,50.6167010008,41.847828299,53.520994982,62.209117257,68.4134369749
24,0.8051250715,2.1920700244,4.0625606349,4.8583236813,7.1971939513,12.5677754505,18.2722679004,22.5632056636,21.6055631582,18.9243205323,31.4998444525,35.3088256397,53.1557078473,39.2575246638,32.6061456556,38.0619742383,39.6822690363,26.4628908559,26.1203128772,23.8958327372,24.8665911083
25,3.292560759,10.7254973206,12.8832092791,16.1415462421,16.13939031,21.468413003,30.7252456651,28.8064209131,53.4290488309,44.0890732942,39.5935791957,28.9199752536,36.4835533179,25.2354681691,21.7084221241,31.6554840259,36.5576492371,54.9825433608,60.8200863775,63.0722256542,90.7087872413
26,2.9041474176,6.1098246143,11.2484491989,15.9252120354,22.8755370374,33.5156126826,29.2623027564,12.9753756095,13.9434110633,15.4329523848,20.4275036693,17.5838236767,24.6551068569,25.8526138272,37.4706756913,36.7542363119,49.9749535916,44.5396833342,33.3260103479,36.6139819798,33.4910726463
27,10.3040975155,15.7351490581,22.3759257146,24.5498697667,33.9058109267,33.6127522107,41.4099525704,56.1935396469,57.8810376474,57.119510175,59.8126511557,49.4966867091,44.2808606946,54.4603897233,88.0942522423,89.4830371063,106.83254762,108.874702141,100.920813682,71.306176076,53.1399690991
28,9.2270054881,18.9600948168,29.0483935699,31.1177652037,34.8613719733,42.572676905,70.9626914092,49.9590392727,44.6095960559,46.6666407551,48.6177353972,58.1161199208,50.4384139171,58.2062536646,66.9033194175,53.0333586657,52.7401393577,56.140778374,50.9388370236,45.4100726498,39.7529169025
29,8.9740758058,11.3590354519,13.4651103713,16.9388662627,30.1716536982,34.2535096072,26.7199523412,24.1702578649,32.7305300573,31.5633986443,37.1791466508,30.1433777561,26.9452396312,27.2908481233,42.6119078472,60.1780631903,66.0796124001,63.8580180362,32.6839214314,27.815826717,36.7437822353
30,7.3047602328,18.0861020531,14.5024691465,25.0071269892,23.6499097108,32.3419352023,28.8058546134,42.1092878593,39.8968058022,52.1977901735,58.3592955207,44.1948163664,102.052357249,75.3625824751,69.7242573893,42.6877903028,62.073702753,35.8478399984,38.5783927013,66.1442147346,48.5493478125
31,3.3554170741,6.4992545442,13.4580464183,20.472352428,20.5414841151,22.0787806935,27.9108361182,35.3477512669,34.1116273132,55.2308352024,68.3399136268,43.2962589464,49.1187226247,45.2452755,41.0045776807,49.0812264185,49.8934752706,50.1892799897,67.7400380055,71.441647177,60.2142074219
32,2.4657763394,5.1855948246,10.2428880162,17.8391355527,25.2313347398,28.7706339551,35.0238461293,30.0992458567,35.7325207638,40.3220577257,44.4420770325,42.9678441271,79.5433662206,52.5550806023,48.0722514779,51.4599232025,74.1223736893,61.3498569687,50.4481221682,95.3241362358,44.656334946
33,0.6417744443,4.5975199659,9.7193281905,14.0017579086,18.5191603134,22.9793883345,35.382582094,33.504460051,38.3823042985,37.2546377774,55.8723397081,37.7798013126,49.4894671485,51.7017227928,56.8190318391,68.509461226,64.8630379318,72.9847039864,79.8260402384,97.3430366745,77.3446440384
34,1.0505973971,2.9594253155,2.6354653988,3.7050363825,5.5257569378,8.8107649394,11.0902101436,15.619157961,14.0351009773,25.4017192016,22.0907255413,18.5505587515,25.362808588,30.436923236,21.3316712579,27.8562415517,46.8984141533,43.8115902926,36.0413199586,40.848649347,31.8914094986
35,3.4136734173,6.461485288,8.0161718313,8.892617106,20.1263083828,30.5719631923,49.6410815177,28.3226461574,40.8974401938,42.7084763731,38.1351645639,39.8189697665,63.7799213665,46.0717915676,41.0276811779,39.6450186346,40.2599173218,45.1158044376,46.5436648448,41.5396546948,26.2915858767
36,2.5719530477,8.9207299171,11.5243801401,17.242924088,18.7132798773,27.4362998212,30.5494859264,27.893463849,27.9693593609,32.0816568182,37.80494065,38.3054775012,41.512135468,50.0247293806,46.9059122987,42.1152854928,41.365700676,35.3270563623,38.1630694936,51.46785997,33.4014576581
37,3.5592694024,4.8261045987,10.1427423166,10.3909127807,16.6722506059,22.4581181932,46.7684848787,40.7326352341,44.1285445602,39.1600147301,51.3846818512,43.7311306213,42.69635261,44.8193620733,51.336308454,47.5892996975,49.1072757795,43.5533788835,53.3227272939,50.8168408684,51.1700727838
38,8.9962647544,14.8667617104,16.6624892006,29.303202001,42.8386485724,33.1076705359,28.5202030637,30.0972877983,38.1932079639,63.9617833412,63.1882764761,54.191570416,52.1711599705,47.3755333399,71.649826431,84.1740005631,59.7424164285,63.8437409989,57.8545928732,35.4869178688,55.2783093074
39,8.236899327,10.7761794914,8.9237292461,12.5083386704,18.1351909056,27.6245804639,28.3042899149,31.5984383275,41.3246572578,41.1525711877,49.5475932603,40.5413381296,39.7538867336,50.100506822,44.764880471,65.1597629934,73.8326554364,68.9363676787,85.162837109,66.4037221643,45.3884726987
40,8.8423858118,14.1475905643,15.8208419286,26.7153141607,46.2780300738,36.6991786694,25.9797583371,37.7389857101,53.2737834151,52.3448216244,41.4614512334,40.4750403528,51.6176239926,31.8659594269,27.8350764183,24.0985794031,29.2269434527,21.2769470282,25.6529607164,33.0482644222,44.6677292215
41,0.9652446518,1.9010287258,2.6886442559,6.9041329616,10.9083478294,14.4548322179,19.0659763954,22.3148077197,27.0766761852,37.6472365946,35.3389714677,51.5028600579,45.7531685386,39.0480625716,38.6812167166,23.0523132741,22.9676983642,26.049298477,21.5809985291,30.7361263339,23.9290609753
42,0.9526808794,2.4149849169,4.3666760986,8.3294287895,13.8536143262,16.1410702102,17.2932973459,24.9132855568,25.3946174726,30.2178692992,34.2271097083,35.9768137921,43.4225366226,54.0055995498,58.9012344086,46.5480644051,57.148844164,54.1442583009,46.5938180501,42.7972296083,43.1663059994
43,2.2997346757,3.9796846342,7.2111751774,12.2557072973,8.7604579406,17.5468323325,29.1224022808,27.7791609359,21.0054955449,32.4168783337,61.7054225463,55.8718889566,37.7173202818,37.2336028206,40.95587573,45.7757012358,46.9266239077,39.8675802408,38.4817624629,45.8800281253,38.4298647794
44,2.2370269487,7.9434391749,7.743148673,8.6457852577,20.2069164629,26.7065239279,46.6617187914,48.3088439027,59.7097061637,58.29072723,40.4619157477,39.5603419489,28.411546201,30.4408292334,22.4632078492,21.5303763901,33.1150823227,23.6858513634,18.7775664756,24.3610797634,20.3396464608
45,2.4416322644,3.282804157,6.0454219629,12.064479984,15.9839256175,20.9303781209,19.9671944616,24.7072292893,18.8264081696,26.30536779,32.0666722744,43.3461367538,39.8318528808,50.7690421218,53.5755535181,54.1973673357,41.7626607429,72.5510562859,63.715685461,56.0291789601,85.34954547
46,2.4708802219,9.5825122371,18.3301338333,20.7487975375,31.2331605485,37.8401568171,43.4549239817,36.2839258503,28.3074371194,27.5213801286,39.1988185177,47.5031524292,45.4390136275,45.5703973759,41.747533545,64.5621456987,55.8336037558,39.2648419138,42.696088141,38.0730182504,54.4604376716
47,13.2370535168,18.7339288706,22.1117290499,22.2578596968,23.2161352251,42.2972584465,45.0993417472,53.3058716139,40.2790371084,35.8364674888,68.3801563829,73.0057228755,50.3798894465,48.4194607545,51.5698186,46.7115084411,50.368105139,55.7030390261,86.7977045688,111.520426721,59.5604543772
48,9.1830393809,11.3913645259,27.790128434,29.6388937177,30.3815817383,31.0274678084,34.2075831022,34.0354919155,35.646184102,35.53490753,48.9434469464,54.104265741,64.1303648204,58.8138925749,77.4037844151,50.724339425,47.4386800924,35.5592446678,35.75178233,40.8618935846,38.1150950223
49,9.9110469252,15.1642613883,15.2709603558,13.668225293,15.7422998321,12.3901795585,18.9195858388,38.2142553108,24.8681559948,29.8150693334,29.5427504574,22.6275520999,31.1476580743,20.2037638603,24.5578821358,39.5628335277,62.1640504568,61.8748733202,58.9829276151,48.621489939,35.2314744178
50,8.5333784389,14.3413591471,14.2374991877,24.1833744276,29.4143396186,45.0014823272,50.8758893723,54.1660399179,60.3816054376,35.2551583302,47.9110205087,47.8050471119,66.9808544516,85.7633707879,57.0774535558,64.640131639,64.4231008622,83.5996703146,48.3468000698,50.5587405106,48.8290004473
51,3.5417597561,10.1738040175,16.949216409,25.2784212263,44.3366908196,51.7828707214,27.5930106893,27.9176661503,25.9962219329,23.8105696107,32.6386707062,40.5417965908,59.4092307174,65.0700483798,55.3753548044,54.9363567084,42.9116763251,40.8539220359,49.6994435455,33.2172399474,39.1315973266
52,3.4059343559,8.80277222,11.1224666237,14.7379897665,29.1835309233,39.2481680057,38.396435627,30.8875752734,21.9647113838,27.3355916592,22.3061519984,32.2265243722,47.8924402146,59.5446854714,64.2427014809,58.3195023146,34.8820981615,32.9565789056,29.978516051,27.6310699261,23.6039182983
53,3.2090538318,5.0325423781,9.3393713062,14.3593971709,30.019201695,34.3302841967,43.1276034848,35.6976568251,33.5141041933,37.6388370154,29.8899872344,45.9328296522,64.6069313554,63.8238473258,38.9679411501,55.2810896213,65.9635006331,42.4549656871,39.5762973148,46.3273572587,38.0013206735
54,3.6581122173,7.05075585,13.3392869154,15.5989238598,11.5246969761,17.5326970414,18.7601933973,31.5315149172,30.3615740148,35.518576216,38.5852850587,43.7235080811,58.1525840449,54.5914008119,46.8259202931,54.0240174561,61.2080998147,68.1074441694,64.0574752956,58.3440116896,60.8096192812
55,9.2725826551,12.5726438251,14.9151336185,18.7278987631,19.3042654283,26.66389759,34.1091845095,46.7790972454,69.4091791161,55.4186889164,59.5921858551,71.7338448622,110.428274803,90.3900176894,81.55980125,128.036306957,113.976834609,94.6390233684,103.961313286,82.7557035847,66.1993049509
56,8.2192260842,16.8746522065,23.0495088972,27.437025791,35.5887817298,50.4533974419,49.9179053585,49.5457155033,48.2295908712,66.9965802008,52.38197427,61.0645158927,39.7376708745,36.3767425348,34.8551680594,33.5794123608,24.4098837517,38.6445095753,48.1089550486,42.2720076298,41.5053856926
57,8.3810794555,12.895912302,15.607704016,19.5361578543,24.1993349097,23.9700022127,28.9361301782,35.3423064581,37.0718435209,29.9367928148,48.8342941302,43.3173741016,34.1875968262,40.8177096426,57.1613278106,65.1759335768,71.8755110785,59.9406214837,57.4804333465,49.5542984859,41.8780887979
58,8.1955118858,11.8647689631,17.8325477904,20.8594467789,21.9458226753,34.9292400957,37.6891974919,49.4664497409,36.0655453414,54.474516704,27.6337843065,34.7582337227,27.2613158135,43.7858388319,57.166121491,71.7524936984,40.9802363187,64.0202979175,56.2342137746,47.7098783288,40.8343864513
59,10.89783156,24.0606321798,19.1423036867,25.2599722354,33.773968902,57.8437294935,51.5170952369,69.2136503568,51.4750694672,29.5520490449,41.8079236681,36.8164530618,37.3092274789,40.9814533354,45.1163942449,48.0336779087,52.5146888349,54.9386307502,26.1627507853,26.3869495389,61.5773592179
60,8.4829660653,13.8717392762,13.7601190988,20.4208912914,30.8707040373,26.6899209376,31.3374707535,47.3300357017,81.7979560877,49.520101725,45.6581687589,55.3999279747,67.129957967,50.765979151,53.9529152741,56.0426448718,55.5009101053,55.6495255357,76.2422723263,89.8948861122,67.2000602993
61,19.4540753968,22.0934316207,27.8780129099,25.0514628722,36.4506431511,54.7300161848,50.8382194488,34.4210472556,34.3446783626,26.3596264322,47.4950530843,52.3460262262,57.8897136736,56.7293606164,43.7485538624,54.6196768049,58.0560927714,42.8685973496,32.7079244453,26.1532132205,35.7854020485
62,12.3785142339,21.685468822,23.148127692,33.6895884813,47.9882366349,41.3979103556,39.473320158,42.6092773856,36.2613418253,36.3013720857,36.0581139758,47.6177135759,42.0592868685,57.0955666548,56.9252208302,45.2899199204,59.1759205685,58.9405589317,51.5242201732,48.7025067847,49.0746872291
63,8.268853638,13.6728088399,13.9847593238,24.7626034136,31.4447448417,35.6038087129,27.2621765405,30.3178224429,23.9754502091,46.5510097222,66.1386293856,47.7981171916,43.5241992848,45.5722279278,45.3668115545,89.8699989841,100.013237281,72.5334043779,75.8593040196,61.5456342529,48.3536341865
64,7.4461864726,12.2459464318,17.7811040893,23.1999261185,23.8234659434,14.6752206842,25.4393988171,22.073893123,32.6363844773,27.859965199,31.3031127354,40.8957122845,63.1794147618,44.638326342,38.1256804075,52.0429626026,36.7660701603,38.1750729266,41.3204892981,49.0405934829,76.1731691464
65,8.4835875885,19.7129424101,24.6882814125,25.7586029712,27.2931145304,41.0122822494,45.0483335334,54.7364894878,53.4388827911,62.9984810556,53.0463350941,55.1774807867,61.7179520564,42.0603450882,43.7391135857,45.368074,49.1046150362,40.4918605091,31.3211891487,32.442145658,27.2183148525
66,8.7670482447,14.2974933253,17.1894390238,22.0814554349,26.0505655178,15.3581638574,24.6883229614,32.6167233403,33.2414478379,26.6666117547,36.2107589155,59.5759950096,117.853128659,98.8744292152,102.105635133,104.712621213,81.3908480192,58.788316546,51.4238200049,42.2900770984,43.1212696631
67,6.9190435629,12.6477142526,15.2123970046,30.4389825251,24.2913999272,28.0591152794,34.6223077264,45.2299611317,63.3343839643,62.8463002266,80.5719542755,67.2096491146,74.0610817772,97.5606021023,100.703110102,77.805994572,75.4959337351,52.6522715767,61.3021526956,58.4087937493,54.9731557029
68,8.2233747692,14.8612104374,20.6969578773,33.3231517319,26.3555370159,61.990749393,67.1244860761,110.759862762,79.2282023249,69.0105168597,64.4647999237,57.9710339034,41.908488512,49.1160175722,57.0440541245,49.5210483652,67.7204145996,79.5485094421,81.8859017063,74.2110690785,65.921219151
69,9.900503513,12.6674602636,16.9116106615,22.9055733385,24.026936786,17.1241534195,25.1016559225,27.8962576824,18.6346867931,23.2869778538,23.1939412399,21.0321279478,19.1440049937,16.2863940696,14.8635881955,35.2389932728,29.4282715374,45.6530610449,35.9966107677,31.6120084755,40.410213466
70,7.1701750266,13.3282941085,22.5406579641,28.1196775735,33.5704730659,35.7540825632,34.0342196587,40.2739562224,45.9937282811,43.8511546496,53.0119462235,45.3853318003,38.0783992067,54.133949978,105.288523307,102.050899206,58.4416978801,62.4040368307,59.6175495031,82.5701547626,70.4725980731
